N,m,ratio,m/sqrt(N),bound,base_term,E,source,family,r,s,missing_count
500,40,1.7888543819998317,1.7888543819998317,41,39,1,bot_prev_append_2,,,,0
600,42,1.7146428199482247,1.7146428199482247,45,42,0,column_place,,,,0
700,47,1.776433023143368,1.776433023143368,48,46,1,bot_prev_append_2,,,,0
800,49,1.7324116139070413,1.7324116139070413,51,49,0,column_place,,,,0
900,53,1.7666666666666666,1.7666666666666666,54,52,1,bot_prev_append_2,,,,0
1000,56,1.7708754896942924,1.7708754896942924,57,55,1,bot_prev_append_2,,,,0
1100,57,1.7186146640932525,1.7186146640932525,60,57,0,column_place,,,,0
1200,61,1.7609183210283583,1.7609183210283583,63,60,1,mid_append_1,,,,0
1300,62,1.7195706082982103,1.7195706082982103,65,62,0,column_place,,,,0
1400,66,1.763924196622001,1.763924196622001,67,65,1,bot_prev_append_2,,,,0
1500,68,1.7557524502806956,1.7557524502806956,70,67,1,mid_append_1,,,,0
1600,70,1.75,1.75,72,69,1,w1_w2_append_1,,,,0
1700,72,1.7462565002615973,1.7462565002615973,74,71,1,w1_w2_append_1,,,,0
1800,74,1.7441967269268173,1.7441967269268173,76,74,0,bot_prev_append_1,,,,0
1900,76,1.7435595774162693,1.7435595774162693,78,76,0,bot_prev_append_1,,,,0
2000,77,1.721772342674838,1.721772342674838,80,77,0,column_place,,,,0
2100,80,1.7457431218879391,1.7457431218879391,82,79,1,fallback_equation,W120,12,25,0
2200,82,1.7482458741160054,1.7482458741160054,84,81,1,mid_append_1,,,,0
2300,84,1.7515210780794281,1.7515210780794281,86,83,1,mid_append_1,,,,0
2400,86,1.755467648994611,1.755467648994611,87,85,1,bot_prev_append_2,,,,0
2500,87,1.74,1.74,89,87,0,bot_prev_append_1,,,,0
2600,89,1.7454336027298378,1.7454336027298378,91,88,1,w1_w2_append_1,,,,0
2700,91,1.7512958165418648,1.7512958165418648,93,90,1,mid_append_1,,,,0
2800,92,1.7386365758424454,1.7386365758424454,94,92,0,bot_prev_append_1,,,,0
2900,94,1.7455361788642876,1.7455361788642876,96,93,1,w1_w2_append_1,,,,0
3000,96,1.7527121840165314,1.7527121840165314,97,95,1,bot_prev_append_2,,,,0
3100,97,1.7421714296597166,1.7421714296597166,99,96,1,w1_w2_append_1,,,,0
3200,98,1.7324116139070413,1.7324116139070413,100,98,0,fallback_equation,W7,15,33,0
3300,100,1.7407765595569784,1.7407765595569784,102,100,0,bot_prev_append_1,,,,0
3400,102,1.7492855684535902,1.7492855684535902,103,101,1,bot_prev_append_2,,,,0
3500,102,1.724114679646174,1.724114679646174,105,102,0,column_place,,,,0
